id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1650	20910-A	2003-01-22 00:00:00	2002-10-21 00:00:00	ALB	Albany International	Continental Airlines	Passenger Property Loss	Checkpoint	300.0	Clothing - Shoes, belts, accessories, etc.	Approved	300.0	Approve in Full
2109	0131015L	2003-01-31 00:00:00	2002-10-29 00:00:00	ALB	Albany International		Passenger Property Loss	Checkpoint	11000.0	Locks	Settled	11000.0	Settle
2405	0211064L	2003-02-11 00:00:00	2003-01-18 00:00:00	ALB	Albany International		Passenger Property Loss	Checked Baggage	6.0	Clothing - Shoes, belts, accessories, etc.	Approved	6.0	Approve in Full
2623	0214004L	2003-02-14 00:00:00	2003-01-12 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage	119.0	Other	Settled	34.5	Settle
2892	0225012L	2003-02-25 00:00:00	2002-12-20 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage		Cameras - Digital	Denied	0.0	Deny
2950	0225078L	2003-02-25 00:00:00	2003-01-25 00:00:00	ALB	Albany International	Delta Air Lines	Passenger Property Loss	Checkpoint	100.0	Other	Settled	95.06	Settle
3765	0317048L	2003-03-17 00:00:00	2003-02-16 00:00:00	ALB	Albany International	UAL	Passenger Property Loss	Checked Baggage	150.0	Other	Settled	25.0	Settle
3799	0318102L	2003-03-18 00:00:00	2003-01-08 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage	100.0	Luggage (all types including footlockers)	Approved	100.0	Approve in Full
4033	2004060153990	2003-03-22 00:00:00	2003-02-19 00:00:00	ALB	Albany International	Delta Air Lines	Passenger Property Loss	Checked Baggage	340.48	Cameras - Digital	Approved	340.48	Approve in Full
4140	0325117L	2003-03-25 00:00:00	2003-02-28 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage	969.99	Jewelry - Fine	Denied	0.0	Deny
4292	0326049L	2003-03-26 00:00:00	2003-02-09 00:00:00	ALB	Albany International	Delta Air Lines	Passenger Property Loss	Checked Baggage	450.0	Clothing - Shoes, belts, accessories, etc.	Settled	229.0	Settle
4511	0401102L	2003-04-01 00:00:00	2003-02-03 00:00:00	ALB	Albany International		Passenger Property Loss	Checked Baggage	208.0	Cell Phones	Settled	104.0	Settle
4720	0408067L	2003-04-08 00:00:00	2003-01-03 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage	25.0	Other	Approved	25.0	Approve in Full
5054	0415031L	2003-04-15 00:00:00	2003-02-19 00:00:00	ALB	Albany International	Southwest Airlines	Passenger Property Loss	Checked Baggage	907.2	Jewelry - Fine	Canceled	0.0	
5228	0417007L	2003-04-17 00:00:00	2003-02-26 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage	70.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	70.0	Approve in Full
5379	0421082L	2003-04-21 00:00:00	2003-04-03 00:00:00	ALB	Albany International	UAL	Passenger Property Loss	Checked Baggage	17.13	Locks	Denied	0.0	Deny
6597	0516006L	2003-05-16 00:00:00	2003-05-05 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage	100.0	Other	Approved	100.0	Approve in Full
6814	0520025L	2003-05-20 00:00:00	2003-02-26 00:00:00	ALB	Albany International		Passenger Property Loss	Checked Baggage	85.0	Clothing - Shoes, belts, accessories, etc.	Settled	42.5	Settle
7021	0527061L	2003-05-27 00:00:00	2003-05-18 00:00:00	ALB	Albany International	Northwest Airlines	Passenger Property Loss	Checked Baggage	120.0	Eyeglasses - (including contact lenses)	Settled	60.0	Settle
7318	0602031L	2003-06-02 00:00:00	2003-04-26 00:00:00	ALB	Albany International	Delta Air Lines	Passenger Property Loss	Checked Baggage		Other	Approved	21.55	Approve in Full
7802	0604027L	2003-06-04 00:00:00	2003-03-16 00:00:00	ALB	Albany International	USAir	Passenger Property Loss	Checked Baggage	100.0	Jewelry - Fine	Settled	50.0	Settle
8372	0611047L	2003-06-11 00:00:00	2003-05-30 00:00:00	ALB	Albany International	UAL	Passenger Property Loss	Checked Baggage	100.0	Other	Settled	50.0	Settle
9482	0625157M	2003-06-25 00:00:00	2003-01-09 00:00:00	ALB	Albany International	Continental Airlines	Passenger Property Loss	Checked Baggage	181.24	Cameras - Digital	Settled	90.63	Settle
9683	0701131M	2003-07-01 00:00:00	2003-05-14 00:00:00	ALB	Albany International		Passenger Property Loss	Checkpoint	125.0	Jewelry - Fine	Approved	125.0	Approve in Full
